Date,Envi,Fuji,Gala,type
2016-10-09,149622,240858,13026,0
2016-10-16,129257,156075,16490,0
2016-10-23,100520,166316,19087,0
2016-10-30,99370,239345,16411,0
2016-11-06,110498,148423,18859,0
2016-11-13,133529,197035,16010,0
2016-11-20,94900,146401,15291,0
2016-11-27,86312,131941,14113,0
2016-12-04,129941,277375,11513,0
2016-12-11,110203,219904,11428,0
2016-12-18,116070,232183,10972,0
2016-12-25,123942,206365,15600,0
2017-01-01,138364,336468,12664,0
2017-01-08,169104,249168,16471,0
2017-01-15,147752,212523,18135,0
2017-01-22,149313,268030,13355,0
2017-01-29,172615,214812,14726,0
2017-02-05,239164,502457,14681,0
2017-02-12,204918,291658,14707,0
2017-02-19,153258,254319,17089,0
2017-02-26,139038,237454,15022,0
2017-03-05,142858,161939,18348,0
2017-03-12,138467,157144,18700,0
2017-03-19,152539,156752,19725,0
2017-03-26,158589,150935,20053,0
2017-04-02,150611,159644,22582,0
2017-04-09,136194,164299,23358,0
2017-04-16,164061,178842,23776,0
2017-04-23,162810,163230,22772,0
2017-04-30,145243,162527,23984,0
2017-05-07,147251,357128,17251,0
2017-05-14,166017,223914,18081,0
2017-05-21,145487,205775,16549,0
2017-05-28,172557,175140,24390,0
2017-06-04,198732,179793,30183,0
2017-06-11,192092,212253,21885,0
2017-06-18,185316,198309,19386,0
2017-06-25,165524,173433,20678,0
2017-07-02,124816,182812,25203,0
2017-07-09,164107,267690,16221,0
2017-07-16,108384,207831,14611,0
2017-07-23,149314,353626,13389,0
2017-07-30,145887,313773,12961,0
2017-08-06,145451,211822,13542,0
2017-08-13,148506,198504,11830,0
2017-08-20,113450,324068,13425,0
2017-08-27,122874,379023,10440,0
2017-09-03,122403,165312,13836,0
2017-09-10,114530,167203,12806,0
2017-09-17,150992,156645,2422,0
2017-09-24,125320,161436,192,0
2017-10-01,114291,249373,198,0
2017-10-08,133463,140122,178,0
2017-10-15,126305,158787,711,0
2017-10-22,126274,238206,6360,0
2017-10-29,130556,226577,10872,0
2017-11-05,122061,320968,8618,0
2017-11-12,137872,269918,8942,0
2017-11-19,132242,196662,15425,0
2017-11-26,125916,171383,12038,0
2017-12-03,149815,325073,9270,0
2017-12-10,150701,330683,7680,0
2017-12-17,157024,154962,12155,0
2017-12-24,142027,171218,11714,0
2017-12-31,127053,355322,8951,0
2018-01-07,184830,292349,14102,0
2018-01-14,178992,323916,11964,0
2018-01-21,147298,233969,14834,0
2018-01-28,181752,215803,9804,0
2018-02-04,234985,468889,11698,0
2018-02-11,234996,251175,13754,0
2018-02-18,159851,197245,12930,0
2018-02-25,166753,254658,14153,0
2018-03-04,192776,258653,15527,0
2018-03-11,159389,205340,16599,0
2018-03-18,163394,260748,15484,0
2018-03-25,176287,222958,16541,0
2015-01-04,3199,6917,8,1
2015-01-11,8856,15071,25,1
2015-01-18,5475,32539,42,1
2015-01-25,4271,8412,585,1
2015-02-01,4824,10710,104,1
2015-02-08,3018,7175,10,1
2015-02-15,2347,7062,13,1
2015-02-22,4987,6082,29,1
2015-03-01,15769,11650,15,1
2015-03-08,34792,26156,46,1
2015-03-15,27916,27507,28,1
2015-03-22,9366,8035,16,1
2015-03-29,5456,8344,9,1
2015-04-05,8697,6633,20,1
2015-04-12,6190,4729,21,1
2015-04-19,6897,4707,66,1
2015-04-26,75842,37729,268,1
2015-05-03,88781,36428,144,1
2015-05-10,19400,8573,45,1
2015-05-17,19912,8930,19,1
2015-05-24,13289,5498,19,1
2015-05-31,11232,4800,21,1
2015-06-07,11956,4702,48,1
2015-06-14,11489,4349,50,1
2015-06-21,9953,2918,22,1
2015-06-28,10715,2930,33,1
2015-07-05,9787,3059,11,1
2015-07-12,9772,3067,32,1
2015-07-19,9847,2605,23,1
2015-07-26,9086,2620,22,1
2015-08-02,10555,2963,23,1
2015-08-09,12491,3931,22,1
2015-08-16,10282,5063,10,1
2015-08-23,12001,6027,32,1
2015-08-30,5989,4070,24,1
2015-09-06,3821,5154,11,1
2015-09-13,5076,3584,29,1
2015-09-20,6110,3509,14,1
2015-09-27,5918,5527,31,1
2015-10-04,1369,5987,31,1
2015-10-11,2269,4720,26,1
2015-10-18,2157,5707,26,1
2015-10-25,1814,6321,36,1
2015-11-01,5851,6277,29,1
2015-11-08,37448,9326,36,1
2015-11-15,11294,3356,29,1
2015-11-22,6643,5729,30,1
2015-11-29,5179,11715,16,1
2015-12-06,3842,8060,33,1
2015-12-13,7420,3155,3,1
2015-12-20,9203,3262,4,1
2015-12-27,9300,2854,12,1
2016-01-03,7003,4241,52,1
2016-01-10,4370,10785,55,1
2016-01-17,6052,3670,23,1
2016-01-24,7581,5040,30,1
2016-01-31,6588,6336,41,1
2016-02-07,4205,3815,33,1
2016-02-14,6479,3527,28,1
2016-02-21,5721,2259,4,1
2016-02-28,4713,1955,23,1
2016-03-06,10701,10988,60,1
2016-03-13,17624,12791,53,1
2016-03-20,4709,3674,27,1
2016-03-27,8689,2179,26,1
2016-04-03,6435,2257,16,1
2016-04-10,5150,1545,26,1
2016-04-17,6856,2139,28,1
2016-04-24,62552,37421,125,1
2016-05-01,85419,40808,143,1
2016-05-08,14280,6750,52,1
2016-05-15,11220,3024,24,1
2016-05-22,25269,1853,34,1
2016-05-29,8556,1939,23,1
2016-06-05,12810,3098,22,1
2016-06-12,19721,3959,29,1
2016-06-19,20528,3778,100,1
2016-06-26,14922,4022,77,1
2016-07-03,13461,3316,58,1
2016-07-10,10122,2279,18,1
2016-07-17,15311,3457,21,1
2016-07-24,14467,3103,54,1
2016-07-31,14013,2829,36,1
2016-08-07,12876,2652,8,1
2016-08-14,8488,1648,13,1
2016-08-21,8263,1735,15,1
2016-08-28,5597,1247,286,1
2016-09-04,8811,2263,275,1
2016-09-11,10019,2408,14,1
2016-09-18,10443,2217,6,1
2016-09-25,9351,1695,8,1
2016-10-02,11038,1697,15,1
2016-10-09,11579,2259,13,1
2016-10-16,6148,1283,14,1
2016-10-23,15715,1953,36,1
2016-10-30,21485,2147,15,1
2016-11-06,11565,1279,24,1
2016-11-13,8092,1339,13,1
2016-11-20,14123,1493,6,1
2016-11-27,11122,1566,22,1
2016-12-04,12166,1971,23,1
2016-12-11,14092,1602,16,1
2016-12-18,9936,1782,101,1
2016-12-25,5413,885,76,1
2017-01-01,4103,776,6,1
2017-01-08,8721,1639,54,1
2017-01-15,18781,3010,271,1
2017-01-22,12520,5289,11,1
2017-01-29,13842,3183,14,1
2017-02-05,9066,1335,21,1
2017-02-12,15110,2068,16,1
2017-02-19,10979,1473,20,1
2017-02-26,12233,2066,39,1
2017-03-05,23363,3586,23,1
2017-03-12,14682,2308,34,1
2017-03-19,9087,1632,24,1
2017-03-26,10129,1678,36,1
2017-04-02,9310,2010,58,1
2017-04-09,11793,2019,76,1
2017-04-16,16051,2802,112,1
2017-04-23,12793,2126,70,1
2017-04-30,24514,3402,97,1
2017-05-07,32779,13319,214,1
2017-05-14,22356,7368,139,1
2017-05-21,25044,4244,82,1
2017-05-28,25873,2438,165,1
2017-06-04,13420,1057,46,1
2017-06-11,16513,1810,103,1
2017-06-18,8640,2043,55,1
2017-06-25,4522,3679,27,1
2017-07-02,11851,2544,61,1
2017-07-09,12539,1475,81,1
2017-07-16,3638,1154,99,1
2017-07-23,8534,3419,215,1
2017-07-30,8613,1389,54,1
2017-08-06,9901,1086,46,1
2017-08-13,7525,865,59,1
2017-08-20,5178,520,41,1
2017-08-27,5403,507,22,1
2017-09-03,5320,500,21,1
2017-09-10,6045,525,39,1
2017-09-17,6552,478,21,1
2017-09-24,3287,244,17,1
2017-10-01,3685,236,11,1
2017-10-08,7350,484,31,1
2017-10-15,11990,1115,85,1
2017-10-22,5719,907,75,1
2017-10-29,4980,572,27,1
2017-11-05,4139,412,36,1
2017-11-12,4294,412,21,1
2017-11-19,4507,340,16,1
2017-11-26,4745,393,86,1
2017-12-03,4565,368,16,1
2017-12-10,4093,452,50,1
2017-12-17,5039,435,43,1
2017-12-24,6227,528,30,1
2017-12-31,4401,483,13,1
2018-01-07,8897,939,22,1
2018-01-14,8396,839,54,1
2018-01-21,7842,687,33,1
2018-01-28,6132,551,36,1
2018-02-04,3747,497,23,1
2018-02-11,5261,639,35,1
2018-02-18,8065,598,50,1
2018-02-25,8387,751,25,1
2018-03-04,5777,589,11,1
2018-03-11,7033,640,52,1
2018-03-18,10539,797,33,1
2018-03-25,6516,686,44,1
